ds,yhat,yhat_lower,yhat_upper
2010-11-26,16948.835126449172,8882.411689325274,24966.09144850445
2010-12-03,26023.25343537292,18121.432434375405,33899.6179521676
2010-12-10,37607.72666696421,30231.966892555272,45476.14332733538
2010-12-17,43548.41717030857,35585.6299079669,51693.386020628604
2010-12-24,40005.95350744292,32795.320510978614,47351.410703656926
2010-12-31,29545.240819939296,21997.299497878113,37731.241273518746
2011-01-07,18331.261558053728,10330.638739003107,26507.773783062334
2011-01-14,11928.823577088673,4222.12528057645,20146.73606044634
2011-01-21,12884.688813931147,5300.689869456659,20908.551263547437
2011-01-28,20319.3973272171,13102.70931048702,28051.052144149515
2011-02-04,30388.09939319216,22327.07816548368,37868.63808815843
2011-02-11,37586.83435557353,29735.357822507234,45261.13033155674
2011-02-18,37560.74381741112,29715.519849728596,45510.94488744455
2011-02-25,30352.24300860781,22074.33893563543,38323.987052476725
2011-03-04,21106.18155887938,13092.29811821212,28645.424030918206
2011-03-11,16565.87849459566,8507.036412386426,24498.881226539455
2011-03-18,19800.26371094813,11888.009792654522,27147.91100061939
2011-03-25,27934.289007325082,19900.730193452644,36037.29482620727
2011-04-01,35020.4710378814,27245.990954333156,43079.88413607019
2011-04-08,37100.38558788107,28616.11069525209,45257.942284098586
2011-04-15,34567.045667389764,27036.517118549316,42629.28276743663
2011-04-22,30226.292110110815,22462.674544869038,37845.740667593825
2011-04-29,26026.91573811229,18471.411015940725,33654.32832692645
2011-05-06,22113.646777509388,14397.964887026417,29497.077555128268
2011-05-13,18389.88651377256,10427.892171894056,25521.845955282075
2011-05-20,15766.046675016403,7719.331577954884,24219.400618670352
2011-05-27,15266.391092658228,6970.759685999535,22626.57801340304
2011-06-03,16417.029406230533,8054.433338123436,24676.81663696845
2011-06-10,17394.46432495404,9667.058846637809,25399.477262730117
2011-06-17,16988.904218399053,10009.84021049121,24834.00262907114
2011-06-24,15899.388909925845,7628.7204080869715,24367.60764339343
2011-07-01,15664.795323022921,7754.62664914031,24242.032492119994
2011-07-08,16607.698974325016,8597.804705121443,24644.65687438546
2011-07-15,17446.54455215094,10017.593785074932,25137.384250408777
2011-07-22,17020.70689037327,8755.028003769434,25315.653952765068
2011-07-29,15802.855566617724,7600.012981499633,24009.963100060046
2011-08-05,15210.585630627424,7677.37026016232,23289.86124926655
2011-08-12,15707.466931119548,7963.770308598353,23922.808960984865
2011-08-19,16304.35628034321,8252.607375450658,24135.27742145449
2011-08-26,16131.257243897986,8458.569507450182,24489.083001458763
2011-09-02,15845.30488710144,8222.272969036494,23037.162699293363
2011-09-09,16774.06092310014,9003.356610695117,24892.472346806404
2011-09-16,18851.075772299806,11442.42365832453,26890.634629371158
2011-09-23,20345.217901659988,12320.460831710107,28326.85207181662
2011-09-30,20205.79499611603,13009.247821143188,28065.049941349855
2011-10-07,20098.30229304259,11854.752946457367,27405.886612329217
2011-10-14,22953.902662572207,14865.23041581336,30934.312599116336
2011-10-21,29039.934331794262,21321.270843200513,36726.98008608272
2011-10-28,34240.87854843326,27025.6673405204,41522.00896218393
2011-11-04,33449.00305415617,25557.243649851338,41325.18326465087
2011-11-11,26150.39874630996,18119.12744978811,34059.13143468456
2011-11-18,18138.658296897618,10340.744906763679,25611.442322708866
2011-11-25,16873.32609041689,9542.470950093095,25189.991935655908
2011-12-02,24686.787612595614,17034.289179581872,33021.53157876391
2011-12-09,36457.72718866368,28417.767240362253,43758.627582659115
2011-12-16,43872.73973896423,36268.83396079675,51424.28484868972
2011-12-23,42004.68187740832,34370.895574822775,49891.98789981955
2011-12-30,32372.13690628465,24586.31147541078,40203.04021185032
2012-01-06,20821.060819560265,13588.117715514896,28812.27076570827
2012-01-13,13272.12872888785,5093.978434335543,21394.75489184646
2012-01-20,12883.074353848997,5507.205088074717,20348.61025143283
2012-01-27,19367.37702631607,11528.607164963025,27788.55538801205
2012-02-03,29349.37258024209,21487.321535323634,37138.69509916805
2012-02-10,37460.09021474845,29331.179480349703,45436.640683346755
2012-02-17,38880.10979605035,30455.567081981644,46576.384013896306
2012-02-24,32700.860813734485,24763.51805550864,41138.380555897296
2012-03-02,23298.40372833305,15513.89247484194,31498.217731901703
2012-03-09,17528.022801168037,8879.378137727565,25363.59919539996
2012-03-16,19424.057750866432,11673.613883541679,27013.507284680938
2012-03-23,27098.846491150765,19756.067473682706,35461.232756062105
2012-03-30,34776.960442951924,26694.570849602325,42750.23313585132
2012-04-06,37842.91427081301,30756.871928758068,45804.506684529275
2012-04-08,37719.97793648766,30274.88519629724,45421.28279346932
2012-04-15,34850.19595009419,26806.091761982607,42829.1433631163
2012-04-22,30467.217436099396,22724.299527773885,38131.25365964801
2012-04-29,26313.46905495345,18849.399516580463,33899.453957364865
2012-05-06,22410.960238070744,15289.294023761748,30432.78833877234
2012-05-13,18744.81641497679,10892.783717205186,26508.121599381026
2012-05-20,16315.36798692049,8168.595040807014,24449.89481036749
2012-05-27,16049.246958322046,8394.209043364977,24489.070043900632
2012-06-03,17276.87664897586,9589.291609531514,25790.254281556965
2012-06-10,18133.578415614807,9762.540193528854,25308.71856344036
2012-06-17,17589.42642204617,9876.722843652093,25099.94964029535
2012-06-24,16524.10984565243,8861.477460874738,24415.74480318986
2012-07-01,16434.68302361387,8167.41218546813,24023.620097371182
2012-07-08,17444.470254497646,9381.83975082154,25687.824728478667
2012-07-15,18180.93820136539,10222.652731679469,26334.067083977025
2012-07-22,17616.798972371624,9753.05526163859,25742.84749239616
2012-07-29,16399.854049934554,8570.403720571045,24601.7430018288
2012-08-05,15932.36594654659,7752.416295929715,23872.269633552878
2012-08-12,16503.011329497334,8749.086174080805,24353.360189050745
2012-08-19,17037.63406160668,8906.294234096242,24492.23434125402
2012-08-26,16793.205455285803,8964.783294543551,24377.617046491614
2012-09-02,16582.55920779047,9750.375807328008,24551.73510932083
2012-09-09,17675.60709717068,9086.033301563797,25694.390067586835
2012-09-16,19786.622428297575,11614.810595243838,27319.321054571028
2012-09-23,21116.196772556625,13445.33161972731,28860.51333502454
2012-09-30,20851.52156698792,13324.679988107833,28621.736753806697
2012-10-07,20934.23796761012,13040.057808903977,28843.553529011297
2012-10-14,24203.074902509416,16461.276031383484,32649.212416587023
2012-10-21,30454.22856553462,22167.337736675687,38088.65971915934
